Date,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,Holiday
2017-08-14 15:00:00,231.9340355,26.6825,34.18416666666667,0.0,0.0,1015.0,729.5666666666667,0.0,0.5,0.0
2017-08-14 16:00:00,116.7736105,25.459166666666672,39.210833333333326,0.0,0.0,1015.0,548.3833333333333,0.0,0.5,0.0
2017-08-14 17:00:00,103.8340405,23.940833333333334,43.04,0.0,0.0,1015.0,345.9333333333334,0.0,0.5,0.0
2017-08-14 18:00:00,109.8181,21.50916666666667,51.50166666666667,0.0,0.0,1015.0,136.20833333333334,0.0,0.5,0.0
2017-08-15 10:00:00,216.325925,21.336666666666662,49.85499999999999,0.0,0.0,1020.0,764.8333333333334,0.0,0.0,1.0
2017-08-15 11:00:00,218.1427525,22.85666666666667,43.13416666666666,0.0,0.0,1020.0,853.9166666666666,0.0,0.0,1.0
2017-08-15 12:00:00,218.947925,24.649999999999995,35.25333333333333,0.0,0.0,1020.0,919.9166666666666,0.0,0.0,1.0
2017-08-15 13:00:00,228.13585,26.136666666666667,28.684166666666666,0.0,0.0,1019.8333333333334,907.3333333333334,0.0,0.0,1.0
2017-08-15 14:00:00,217.068825,26.504166666666663,24.635833333333334,0.0,0.0,1019.0833333333334,837.6666666666666,0.0,0.0,1.0
2017-08-15 15:00:00,213.5874645,25.66333333333333,31.410000000000007,0.0,0.0,1019.1666666666666,706.3833333333332,0.0,0.0,1.0
2017-08-16 08:00:00,107.3199895,19.714166666666664,58.53916666666666,0.0,0.0,1023.0,467.29166666666674,0.0,0.0,0.0
2017-08-16 09:00:00,129.6760355,20.5225,56.14666666666667,0.0,0.0,1023.0,647.0333333333334,0.0,0.0,0.0
2017-08-16 10:00:00,257.0287605,21.810833333333335,49.39249999999999,0.0,0.0,1022.1666666666666,790.1666666666666,0.0,0.0,0.0
2017-08-16 11:00:00,268.2889395,23.15833333333333,43.565,0.0,0.0,1022.0,882.4166666666666,0.0,0.0,0.0
2017-08-16 12:00:00,260.7629255,24.16083333333333,40.07750000000001,0.0,0.0,1021.4166666666666,922.5,0.0,0.0,0.0
2017-08-16 13:00:00,266.1039395,26.16083333333334,32.755,0.0,0.0,1021.0,907.0,0.0,0.0,0.0
2017-08-16 14:00:00,260.82192050000003,26.331666666666667,33.1025,0.0,0.0,1020.8333333333334,838.3333333333334,0.0,0.0,0.0
2017-08-16 15:00:00,262.09075,26.185000000000002,32.26,0.0,0.0,1020.0,715.0333333333333,0.0,0.0,0.0
2017-08-16 16:00:00,145.9143,25.951666666666668,31.830000000000002,0.0,0.0,1020.0,548.5249999999999,0.0,0.0,0.0
