Date,Power_kW,temp_C,solarRad_W/m2,Holiday,Week Day,Hour,Power-1
2017-11-27 21:00:00,123.3727475,13.665833333333332,2.958,1.0,0,21,153.40885
2017-11-27 22:00:00,107.7351395,13.299999999999999,2.9144166666666664,1.0,0,22,123.3727475
2017-11-27 23:00:00,106.44730049999998,13.038333333333332,2.8360833333333333,1.0,0,23,107.7351395
2017-11-28 02:00:00,481.8455955,12.042499999999999,2.5781666666666667,1.0,1,2,106.44730049999998
2017-11-28 06:00:00,102.2652105,10.868333333333334,2.3885833333333335,1.0,1,6,481.8455955
2017-11-28 07:00:00,134.8632255,10.583333333333334,5.465,1.0,1,7,102.2652105
2017-11-28 08:00:00,173.3142,10.664166666666667,19.551666666666666,1.0,1,8,134.8632255
2017-11-28 09:00:00,208.0703395,10.751666666666665,49.25,1.0,1,9,173.3142
2017-11-28 10:00:00,389.6254855,10.866666666666667,114.35000000000001,1.0,1,10,208.0703395
2017-11-28 11:00:00,298.8667035,11.457500000000001,176.625,1.0,1,11,389.6254855
2017-11-28 12:00:00,324.8913645,11.678333333333333,102.46416666666669,1.0,1,12,298.8667035
2017-11-28 13:00:00,294.5303525,11.656666666666666,27.773833333333332,1.0,1,13,324.8913645
2017-11-28 14:00:00,315.8782395,11.790833333333332,30.838333333333328,1.0,1,14,294.5303525
2017-11-28 15:00:00,338.056208,11.861666666666666,26.31416666666667,1.0,1,15,315.8782395
2017-11-28 16:00:00,310.312389,12.004166666666665,30.38333333333334,1.0,1,16,338.056208
2017-11-28 17:00:00,268.64575,12.014166666666668,4.320583333333333,1.0,1,17,310.312389
2017-11-28 18:00:00,223.8460395,12.079166666666666,2.707333333333333,1.0,1,18,268.64575
2017-11-28 19:00:00,186.151075,11.996666666666668,2.77425,1.0,1,19,223.8460395
2017-11-28 20:00:00,150.2901995,11.884166666666665,2.6681666666666666,1.0,1,20,186.151075
2017-11-28 21:00:00,115.3315105,11.787499999999996,3.1550833333333332,1.0,1,21,150.2901995
2017-11-28 22:00:00,108.83353899999999,11.724166666666664,2.859666666666667,1.0,1,22,115.3315105
2017-11-28 23:00:00,107.3090645,11.795833333333334,2.958833333333333,1.0,1,23,108.83353899999999
2017-11-29 00:00:00,103.0588025,12.001666666666667,2.2988333333333335,1.0,2,0,107.3090645
2017-11-29 01:00:00,108.020719,11.33,2.998083333333333,1.0,2,1,103.0588025
2017-11-29 02:00:00,101.3387705,11.458333333333334,2.684083333333333,1.0,2,2,108.020719
2017-11-29 03:00:00,104.4139395,11.876666666666665,2.783333333333333,1.0,2,3,101.3387705
2017-11-29 05:00:00,103.645475,11.665833333333333,2.596333333333334,1.0,2,5,104.4139395
2017-11-29 06:00:00,111.52567749999999,10.985833333333332,2.3817500000000007,1.0,2,6,103.645475
2017-11-29 07:00:00,130.9979605,10.722500000000002,9.013166666666669,1.0,2,7,111.52567749999999
2017-11-29 08:00:00,173.0871785,10.800833333333332,86.79166666666667,1.0,2,8,130.9979605
2017-11-29 09:00:00,212.7606605,11.34083333333333,264.40833333333336,1.0,2,9,173.0871785
2017-11-29 10:00:00,364.3856765,11.833333333333336,365.2083333333333,1.0,2,10,212.7606605
2017-11-29 11:00:00,276.8357855,12.075833333333335,473.84166666666664,1.0,2,11,364.3856765
2017-11-29 12:00:00,313.96221299999996,13.00166666666667,497.84999999999997,1.0,2,12,276.8357855
2017-11-29 13:00:00,316.7813,13.093333333333334,466.5083333333334,1.0,2,13,313.96221299999996
2017-11-29 14:00:00,303.289799,13.411666666666667,381.5916666666667,1.0,2,14,316.7813
2017-11-29 15:00:00,280.88939750000003,13.145833333333334,249.73333333333332,1.0,2,15,303.289799
2017-11-29 16:00:00,248.0593355,12.334999999999999,95.43083333333333,1.0,2,16,280.88939750000003
2017-11-29 17:00:00,247.169385,11.099166666666667,5.832416666666667,1.0,2,17,248.0593355
2017-11-29 18:00:00,224.3704395,10.485000000000001,2.40025,1.0,2,18,247.169385
2017-11-29 19:00:00,188.13265149999998,10.185833333333333,2.328583333333334,1.0,2,19,224.3704395
2017-11-29 20:00:00,151.22385,9.895833333333334,2.2851666666666666,1.0,2,20,188.13265149999998
2017-11-29 21:00:00,116.1063115,9.834166666666667,2.14925,1.0,2,21,151.22385
2017-11-29 22:00:00,114.220875,9.782499999999999,2.181416666666667,1.0,2,22,116.1063115
2017-11-29 23:00:00,110.07330800000001,9.619166666666667,2.30625,1.0,2,23,114.220875
2017-11-30 00:00:00,114.102011,9.309166666666668,2.3638333333333335,1.0,3,0,110.07330800000001
2017-11-30 01:00:00,101.1617855,9.109166666666667,2.3269999999999995,1.0,3,1,114.102011
2017-11-30 02:00:00,104.18517,8.880833333333333,2.3848333333333334,1.0,3,2,101.1617855
2017-11-30 03:00:00,105.7977,8.749999999999998,2.1884166666666665,1.0,3,3,104.18517
2017-11-30 04:00:00,105.252324,8.4775,2.3084166666666666,1.0,3,4,105.7977
2017-11-30 05:00:00,112.1960355,8.173333333333334,2.151666666666667,1.0,3,5,105.252324
2017-11-30 06:00:00,109.17483600000001,8.540833333333333,2.3314166666666662,1.0,3,6,112.1960355
2017-11-30 07:00:00,129.789,7.972499999999999,10.584083333333334,1.0,3,7,109.17483600000001
2017-11-30 08:00:00,177.84239399999998,8.375833333333334,119.08083333333333,1.0,3,8,129.789
2017-11-30 09:00:00,221.89549,9.5825,271.125,1.0,3,9,177.84239399999998
2017-11-30 10:00:00,241.0092145,10.345,399.52500000000003,1.0,3,10,221.89549
2017-11-30 11:00:00,260.732991,10.766666666666666,481.35833333333335,1.0,3,11,241.0092145
2017-11-30 12:00:00,376.4792145,11.275,506.8,1.0,3,12,260.732991
2017-11-30 13:00:00,292.20092400000004,11.797500000000001,473.5,1.0,3,13,376.4792145
2017-11-30 14:00:00,326.7739605,12.987499999999999,381.76666666666665,1.0,3,14,292.20092400000004
